Generation N Sum homeF homeM importF importM
0 8640 4.95004811989366 2.48922897592352 2.46081914397014 0 0
1 8640 4.99980655815473 2.4938596733917 2.50594688476303 0 0
2 8640 5.19089684618559 2.31920614093334 2.87169070525225 0 0
3 8640 5.37346445556155 2.81579334963347 2.55767110592808 0 0
4 8640 5.47395515534311 3.2532369343844 2.22071822095871 0 0
5 8640 5.84948687302494 3.50579923724587 2.34368763577907 0 0
6 8640 5.9804827823003 3.84859210658427 2.12102455709523 0 0.0108661186207986
7 8640 6.14922227365219 3.67678347778603 2.46122408150367 0 0.0112147143624826
8 8640 6.42120624527553 3.59258149632417 2.55832711285537 0 0.270297636095995
9 8640 6.47705573351505 3.38251636848675 2.7550187149487 0 0.339520650079592
10 8640 6.87908091915665 3.04694349157515 3.54997747565836 0.00238434877652778 0.279775603146617
11 8640 7.1223298429815 2.77485228107671 4.14585964394393 0.00381630283471933 0.197801615126146
12 8640 7.46030264273501 2.92817233806915 4.03466067747704 0.0710994205402156 0.426370206648604
13 8640 7.91787059605234 2.95904476575472 4.04674976712291 0.14194445499842 0.770131608176288
14 8640 8.20514357531894 3.13426373225439 3.93001671089313 0.10683567400011 1.0340274581713
15 8640 8.45054869119598 3.26894284798499 3.49775722839725 0.181188714443389 1.50265990037036
16 8640 8.68761316837614 3.24910196581903 3.5025313959451 0.147854638041421 1.78812516857058
17 8640 9.0272290186201 2.93650341700835 3.43846217222003 0.298471039252418 2.35379239013931
18 8640 9.33987890699385 3.0799753509723 3.36337821960261 0.373612853962234 2.52291248245671
19 8640 9.5596204187424 2.84966190532613 3.35583330733845 0.608632395133544 2.74549281094427
20 8640 9.95304445898616 3.00887694453407 3.2406804002936 0.771985793041502 2.93150132111699
21 8640 10.039142963265 2.96579874386923 2.98232621590765 0.865897589381428 3.22512041410671
22 8640 10.302580408812 3.01288296077727 2.88425565116559 1.10056165668386 3.3048801401853
23 8640 10.5187070571237 2.94838372128596 2.90887870556517 1.27053304171717 3.39091158855542
24 8640 10.700117749505 2.84900893723294 2.94379867798586 1.39864254798153 3.50866758630463
25 8640 10.9732348824033 2.67115266464785 2.93826883532946 1.65445519603735 3.70935818638866
26 8640 11.4016425255193 2.65478366078044 2.88991627711651 1.89729265661789 3.95964993100446
27 8640 11.7084739352395 2.82052541908689 2.98914985827222 1.87875165586195 4.02004700201843
28 8640 11.7968336918469 2.78473232140328 2.8146990740637 1.95883143276812 4.23857086361179
29 8640 12.1576430889771 2.7955506937987 2.74813539464952 2.11408247239979 4.49987452812912
30 8640 12.2377248784422 2.91056381009935 2.77537072625736 2.00847289005807 4.5433174520274
31 8640 12.5942452516178 2.79785930898911 2.81800992549629 2.24475627200095 4.73361974513145
32 8640 12.9451010446674 2.75961628606998 2.64323332826218 2.53147144570669 5.01077998462857
33 8640 13.0942093963411 2.69721048886725 2.48625335940765 2.67340420551491 5.23734134255124
34 8640 13.3276522298071 2.74493496315598 2.63509903180108 2.73271119112301 5.214907043727
35 8640 13.6528249692738 2.73609532447067 2.68885880049044 2.84602913075606 5.3818417135566
36 8640 13.9180451517298 2.74795823362981 2.80093786032336 2.94004074258015 5.42910831519644
37 8640 14.0497418973778 2.83075757860928 2.84586920983846 2.88866860490671 5.48444650402334
38 8640 14.5481424892812 2.72853327875884 2.80204070267532 3.20993334848425 5.80763515936278
39 8640 14.5609641134394 2.90443388610986 2.86803167081242 3.10629437766582 5.6822041788513
40 8640 14.810790020522 2.7355618925652 2.70328718733513 3.39876320910302 5.97317773151865
