Generation N Sum homeF homeM importF importM
0 8640 7.31802522872425 0 0 3.65221262544861 3.66581260327564
1 8640 7.63549139012081 0 0 3.81558552899539 3.81990586112542
2 8640 7.85049782973914 0 0 2.97187571112833 4.87862211861081
3 8640 8.1226990171293 0 0 3.79983536621887 4.32286365091043
4 8640 8.36470590982567 0 0 4.42132583541601 3.94338007440966
5 8640 8.59767210507847 0 0 4.66719570005611 3.93047640502236
6 8640 8.94374765204388 0 0 5.19688297296567 3.74686467907821
7 8640 9.21437898806602 0 0 5.24535168347889 3.96902730458713
8 8640 9.42794948263649 0 0 5.15595077459281 4.27199870804368
9 8640 9.72532343712498 0 0 4.9586987698376 4.76662466728738
10 8640 9.92899459322272 0 0 4.60467589273104 5.32431870049168
11 8640 10.21490971403 0 0 4.39364772581154 5.82126198821847
12 8640 10.4627718913464 0 0 4.5024423264839 5.96032956486249
13 8640 10.6976034399116 0 0 4.59969306917235 6.09791037073926
14 8640 10.9753064023144 0 0 4.7262625352413 6.24904386707315
15 8640 11.1906504468197 0 0 4.80973306168959 6.38091738513013
16 8640 11.4379657301874 0 0 4.98710166921297 6.45086406097439
17 8640 11.7322084082051 0 0 5.0540495718389 6.67815883636624
18 8640 11.9340027365711 0 0 5.14116319894283 6.79283953762825
19 8640 12.2214949647871 0 0 5.26189225162065 6.95960271316641
20 8640 12.4662236168157 0 0 5.37364045326835 7.09258316354732
21 8640 12.7107141132223 0 0 5.50444808553663 7.20626602768567
22 8640 12.9645145268668 0 0 5.66658291113349 7.29793161573329
23 8640 13.2254779107168 0 0 5.78934935772161 7.43612855299516
24 8640 13.4728835244265 0 0 5.87543114728218 7.5974523771443
25 8640 13.7768225718054 0 0 6.06601440316502 7.7108081686404
26 8640 14.0070135625975 0 0 6.09573529962716 7.91127826297034
27 8640 14.202570747162 0 0 6.17748054330894 8.02509020385305
28 8640 14.4501669935064 0 0 6.29181846054932 8.15834853295705
29 8640 14.741403948033 0 0 6.40144779528829 8.33995615274476
30 8640 14.9647830429919 0 0 6.49370880694037 8.47107423605152
31 8640 15.2081877468098 0 0 6.60757057293079 8.60061717387901
32 8640 15.4394585011475 0 0 6.74576909065807 8.69368941048939
33 8640 15.6956487139671 0 0 6.83828571671991 8.85736299724715
34 8640 15.9461741480554 0 0 6.96946097467915 8.97671317337626
35 8640 16.2075140380992 0 0 7.08344263425095 9.12407140384827
36 8640 16.458852788062 0 0 7.21709241584742 9.24176037221461
37 8640 16.6837250088657 0 0 7.32706260575692 9.35666240310877
38 8640 16.9283261968363 0 0 7.46202254396917 9.46630365286713
39 8640 17.1715000462364 0 0 7.55518476142684 9.61631528480959
40 8640 17.446720112806 0 0 7.67478662480007 9.77193348800597
